ax,ay,az,omega_x,omega_y,omega_z
0.19083,0.26171,9.6332,-0.0002,-0.0023,-0.006
0.22134,0.25872,9.6613,-0.0015,-0.0043,-0.004
0.20279,0.27338,9.6344,0.0008,-0.004,-0.0037
0.22074,0.26859,9.6326,-0.0013,-0.0037,-0.0037
0.1986,0.25125,9.6446,-0.001,-0.0032,-0.0013
0.20489,0.26949,9.6721,0.0005,-0.0038,-0.002
0.201,0.25035,9.6694,-0.0004,-0.0043,-0.0017
0.20818,0.25334,9.6535,0.0009,-0.0048,-0.0039
0.18485,0.2659,9.6464,-0.0021,-0.005,-0.004
0.21775,0.26441,9.644,0.0002,-0.0042,-0.0027
0.20578,0.26082,9.6538,-0.0008,-0.0047,-0.0051
0.20758,0.2683,9.6503,-0.0005,-0.0037,-0.0045
0.21057,0.25364,9.6443,-0.0011,-0.0035,-0.004
0.22313,0.24975,9.6347,-0.0003,-0.0022,-0.0026
0.20907,0.27308,9.6359,-0.0017,-0.0029,-0.0034
0.22941,0.26381,9.6631,-0.0009,-0.0046,-0.0045
0.20369,0.28056,9.6224,-0.0018,-0.0031,-0.0065
0.22044,0.25513,9.6416,-0.001,-0.0032,-0.0054
0.22104,0.25454,9.6254,0.0008,-0.0044,-0.0052
0.21655,0.25842,9.6434,-0.0005,-0.0043,-0.0063
0.20489,0.25184,9.6553,-0.0007,-0.0046,-0.0033
0.20788,0.25693,9.641,-0.0016,-0.0028,-0.0033
0.21266,0.25693,9.6332,-0.0011,-0.0058,-0.0044
0.21386,0.25543,9.629,0.0005,-0.0018,-0.0046
0.22971,0.25962,9.6278,0.0002,-0.004,-0.0074
0.21835,0.25304,9.6503,-0.0024,-0.0031,-0.0018
0.19831,0.25783,9.6389,-0.0021,-0.0038,-0.0026
0.2013,0.26082,9.6488,-0.0023,-0.0018,-0.0081
0.21984,0.26919,9.6443,-0.0006,-0.0039,-0.0025
0.21326,0.26501,9.6353,-0.0028,-0.0053,-0.0049
0.21266,0.26441,9.6658,-0.0007,-0.0028,-0.0033
0.20668,0.2662,9.6437,-0.0005,-0.0033,-0.0036
0.20758,0.27278,9.647,0.0017,-0.0026,-0.0053
0.21356,0.24855,9.65,0.0003,-0.0029,-0.0046
0.22552,0.26949,9.632,-0.0013,-0.0044,-0.0052
0.22762,0.25783,9.6335,-0.0015,-0.0043,-0.0053
0.22343,0.26889,9.6532,-0.0016,-0.0035,-0.0045
0.19352,0.28265,9.6509,0.0009,-0.0024,-0.0038
0.19741,0.25334,9.6532,0,-0.0047,-0.0055
0.22134,0.26351,9.6443,-0.0021,-0.003,-0.0029
0.20698,0.25902,9.6428,-0.0028,-0.0036,-0.0043
0.22792,0.25513,9.6515,0.0001,-0.0023,-0.0058
0.21835,0.25723,9.6407,0.0002,-0.0025,-0.0045
0.20997,0.26441,9.6535,-0.0011,-0.0028,-0.0052
0.21147,0.24257,9.6532,-0.0008,-0.0038,-0.0024
0.21685,0.2653,9.6476,-0.0014,-0.0034,-0.0034
0.18664,0.24467,9.6538,0.0023,-0.0039,-0.0037
0.2001,0.24975,9.6272,-0.0005,-0.0025,-0.0052
0.20399,0.25753,9.6371,0.001,0.0063,-0.0024
0.22522,0.25484,9.6362,0.0015,-0.0047,-0.0035
0.22433,0.26441,9.6673,-0.001,-0.0034,-0.0047
0.22762,0.25932,9.6254,-0.0029,-0.0048,-0.0027
0.21446,0.24556,9.6221,-0.0002,-0.0037,-0.0068
0.21147,0.27039,9.6141,-0.002,-0.0021,-0.0041
0.21954,0.25125,9.6506,0.0013,-0.0034,-0.0048
0.21715,0.25872,9.6485,0.0005,-0.0027,-0.005
0.21835,0.2656,9.6452,0.0004,-0.0026,-0.0048
0.21685,0.27278,9.6568,0.0003,-0.0046,-0.0043
0.19502,0.25543,9.6425,-0.002,-0.0045,-0.0046
0.2016,0.25125,9.6365,-0.0004,-0.0023,-0.0028
0.21535,0.24556,9.6547,-0.0003,-0.0036,-0.0039
0.20937,0.27248,9.6625,-0.0006,-0.0046,-0.0033
0.20847,0.25872,9.6314,-0.0011,-0.0052,-0.0046
0.20937,0.23809,9.6562,-0.0009,-0.0022,-0.0058
0.22164,0.2333,9.6676,-0.001,-0.002,-0.0047
0.20818,0.2653,9.6359,0.0022,-0.0048,-0.0033
0.20967,0.25992,9.6604,-0.0013,-0.0039,-0.0034
0.20279,0.25394,9.6236,0.0004,-0.003,-0.0055
0.20698,0.27009,9.6233,0,-0.0023,-0.005
0.20489,0.25095,9.6562,0.0011,-0.0027,-0.0024
0.22313,0.26142,9.6434,-0.0018,-0.0036,-0.0027
0.21027,0.26261,9.6434,-0.0008,-0.0024,-0.0042
0.22762,0.26411,9.6455,-0.0014,-0.0044,-0.0025
0.21027,0.26082,9.6254,-0.0003,-0.0064,-0.0052
0.21835,0.24497,9.6135,-0.0014,-0.0027,-0.0054
0.19681,0.24796,9.6497,-0.001,-0.0055,-0.0058
0.22223,0.25543,9.6371,-0.0015,-0.0023,-0.0037
0.21745,0.27787,9.6245,0,-0.0058,-0.0042
0.20548,0.28295,9.6407,0.0018,-0.0029,-0.0053
0.21386,0.25932,9.6473,-0.0006,-0.0046,-0.004
0.21236,0.25902,9.6673,-0.0012,-0.0035,-0.0032
0.20997,0.28265,9.6565,-0.0017,-0.004,-0.0035
0.21087,0.24885,9.6473,-0.0007,-0.003,-0.0038
0.21206,0.27278,9.6341,-0.0014,-0.0057,-0.0037
0.21476,0.2345,9.6577,-0.0003,-0.0061,-0.0041
0.22104,0.25005,9.676,-0.0012,-0.0059,-0.0029
0.21176,0.25005,9.6428,-0.0034,-0.0027,-0.0046
0.2336,0.26082,9.6341,0,-0.0048,-0.0065
0.20189,0.24885,9.6377,-0.0016,-0.0026,-0.0053
0.2324,0.26231,9.6535,-0.001,-0.0055,-0.0048
0.22463,0.26351,9.6422,-0.0002,-0.0019,-0.0037
0.20877,0.25005,9.6607,0.0011,-0.0033,-0.0036
0.21296,0.2671,9.6254,-0.001,-0.0038,-0.0055
0.19412,0.24168,9.641,-0.0006,-0.0021,-0.0052
0.22343,0.2653,9.6353,0.0013,-0.0045,-0.0046
0.21087,0.25364,9.6284,0.0015,-0.0036,-0.0039
0.20758,0.26501,9.6482,-0.0019,-0.0064,-0.0061
0.22283,0.23868,9.6437,-0.0016,-0.0048,-0.004
0.22493,0.23988,9.6356,-0.0012,-0.0049,-0.0065
0.21266,0.24287,9.644,0.0001,-0.0049,-0.0042
0.21655,0.28116,9.644,-0.0023,-0.0056,-0.0026
0.21745,0.24855,9.6335,-0.0012,-0.0037,-0.0023
0.20459,0.25065,9.647,-0.0015,-0.0049,-0.0035
0.20189,0.2665,9.6739,0.0018,-0.0034,-0.0058
0.20518,0.25573,9.6224,-0.0003,-0.0029,-0.0068
0.21087,0.24108,9.6553,-0.0002,-0.0028,-0.0063
0.19831,0.25155,9.6305,0.0011,-0.0053,-0.0038
0.19741,0.25753,9.6649,0.0006,-0.0047,-0.0057
0.22522,0.25394,9.635,0.0011,-0.0048,-0.0057
0.20279,0.27936,9.6494,0.0021,-0.0063,-0.0046
0.21535,0.27159,9.6395,-0.0017,-0.0029,-0.0057
0.2007,0.27278,9.6461,-0.0017,-0.0021,-0.0024
0.233,0.25543,9.644,0.0005,-0.0029,-0.004
0.21296,0.2665,9.6619,0.0006,-0.0026,-0.0023
0.20788,0.24317,9.6562,0.0011,-0.0045,-0.0049
0.22433,0.25872,9.6467,-0.0016,-0.0023,-0.0039
0.2013,0.27308,9.6568,-0.0007,-0.0026,-0.0058
0.20788,0.27009,9.6401,0,-0.0031,-0.0037
0.19681,0.25633,9.6443,-0,-0.0037,-0.0049
0.22403,0.27188,9.6479,0.0013,-0.004,-0.0049
0.201,0.24526,9.65,-0.0018,-0.0054,-0.0042
0.21446,0.25962,9.6371,-0.0014,-0.0057,-0.0048
0.21206,0.24556,9.647,-0.0023,-0.0042,-0.0045
0.21864,0.25813,9.6413,0.0013,-0.0035,-0.0028
0.20788,0.268,9.6236,-0.0027,-0.0056,-0.004
0.21924,0.27577,9.6452,-0.0018,-0.0023,-0.0047
0.19322,0.25304,9.6278,-0.001,-0.0031,-0.0042
